date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2025-01-08,2025,1,8,North America,USA,Vitamin,Vitamin C,13-25,31,10.99,1228,960,0
2023-04-11,2023,4,11,South Asia,Bangladesh,Chronic,Omeprazole,46-65,212,41.79,964,633,0
2021-12-16,2021,12,16,Middle East,Saudi Arabia,Diabetes,Metformin,65+,479,17.71,1201,294,1
2020-07-05,2020,7,5,East Asia,South Korea,Pain_Relief,Paracetamol,13-25,331,7.99,956,339,1
2020-07-26,2020,7,26,South America,Argentina,Antibiotic,Azithromycin,0-12,187,34.88,1519,732,1
2021-03-27,2021,3,27,Middle East,UAE,Pain_Relief,Paracetamol,26-45,434,6.42,1080,452,1
2024-06-26,2024,6,26,Europe,Germany,Cardiovascular,Amlodipine,65+,142,24.97,1811,983,0
2020-09-06,2020,9,6,East Asia,China,Antibiotic,Amoxicillin,26-45,90,32.54,1637,907,1
2022-06-03,2022,6,3,Oceania,Australia,Cardiovascular,Amlodipine,46-65,468,21.6,843,825,1
2021-05-13,2021,5,13,East Asia,Japan,Antibiotic,Azithromycin,26-45,289,34.1,252,727,1
2023-03-01,2023,3,1,South Asia,India,Diabetes,Metformin,46-65,159,15.48,428,659,0
2025-09-03,2025,9,3,East Asia,South Korea,Respiratory,Salbutamol,13-25,329,19.23,365,737,0
2024-07-04,2024,7,4,South Asia,India,Vitamin,Vitamin C,13-25,141,10.54,1459,221,0
2020-01-19,2020,1,19,East Asia,China,Vitamin,Vitamin C,26-45,43,8.43,995,60,1
2023-10-04,2023,10,4,Middle East,Saudi Arabia,Chronic,Omeprazole,46-65,27,38.65,1368,85,0
2024-01-05,2024,1,5,South Asia,India,Pain_Relief,Paracetamol,65+,262,7.15,703,534,0
2024-05-19,2024,5,19,Africa,South Africa,Diabetes,Metformin,65+,48,15.02,210,863,0
2025-11-13,2025,11,13,South Asia,Bangladesh,Vitamin,Vitamin C,0-12,454,11.16,407,115,0
2025-08-16,2025,8,16,South Asia,Bangladesh,Cough_Cold,Cough Syrup,13-25,154,9.77,979,446,0
2021-06-07,2021,6,7,North America,Mexico,Antibiotic,Amoxicillin,0-12,335,25.86,1277,240,1
2020-05-20,2020,5,20,Europe,Italy,Vitamin,Vitamin C,26-45,488,11.24,767,582,1
2021-12-23,2021,12,23,South America,Brazil,Diabetes,Metformin,46-65,427,15.0,24,897,1
2024-07-20,2024,7,20,Middle East,Saudi Arabia,Chronic,Omeprazole,65+,37,45.69,324,279,0
2024-05-23,2024,5,23,Oceania,Australia,Diabetes,Metformin,65+,80,14.59,1255,125,0
2025-05-05,2025,5,5,South America,Argentina,Vitamin,Vitamin C,46-65,465,9.83,585,215,0
2025-11-24,2025,11,24,North America,Canada,Diabetes,Metformin,65+,139,17.89,1559,837,0
2022-12-30,2022,12,30,Europe,Italy,Respiratory,Salbutamol,0-12,384,22.35,471,70,1
2023-07-25,2023,7,25,South Asia,India,Chronic,Omeprazole,26-45,284,38.65,758,256,0
2025-01-02,2025,1,2,Oceania,New Zealand,Cardiovascular,Atorvastatin,26-45,322,22.68,83,236,0
2021-04-08,2021,4,8,Africa,South Africa,Cardiovascular,Atorvastatin,65+,19,21.14,1079,38,1
2022-08-20,2022,8,20,South America,Argentina,Cardiovascular,Atorvastatin,65+,45,23.44,1068,93,1
2022-09-15,2022,9,15,East Asia,South Korea,Antibiotic,Amoxicillin,13-25,209,35.01,701,470,1
2025-02-26,2025,2,26,South America,Colombia,Vitamin,Vitamin C,26-45,147,11.18,1059,978,0
2020-07-17,2020,7,17,South America,Brazil,Chronic,Omeprazole,26-45,110,35.14,951,626,1
2022-07-30,2022,7,30,Oceania,New Zealand,Antibiotic,Amoxicillin,46-65,68,28.55,1543,415,1
2022-12-26,2022,12,26,South America,Brazil,Antibiotic,Amoxicillin,26-45,22,35.39,899,454,1
2021-04-26,2021,4,26,Europe,UK,Antibiotic,Amoxicillin,46-65,216,27.45,1353,771,1
2021-04-10,2021,4,10,East Asia,China,Pain_Relief,Paracetamol,26-45,123,8.12,1791,843,1
2025-02-28,2025,2,28,Middle East,Saudi Arabia,Pain_Relief,Ibuprofen,26-45,189,8.14,917,381,0
2021-06-12,2021,6,12,Oceania,New Zealand,Respiratory,Salbutamol,46-65,119,18.04,673,752,1
2023-07-07,2023,7,7,Africa,Nigeria,Antibiotic,Amoxicillin,26-45,426,31.41,966,334,0
2025-02-27,2025,2,27,East Asia,Japan,Vitamin,Vitamin C,13-25,313,11.5,1764,480,0
2023-05-06,2023,5,6,South America,Brazil,Vitamin,Vitamin C,13-25,386,8.4,798,481,0
2023-10-06,2023,10,6,Europe,Germany,Diabetes,Metformin,13-25,216,15.85,337,940,0
2020-11-08,2020,11,8,North America,USA,Diabetes,Metformin,46-65,379,14.34,1244,519,1
2022-12-15,2022,12,15,North America,Canada,Respiratory,Salbutamol,0-12,485,22.81,986,140,1
2020-04-07,2020,4,7,Europe,France,Antibiotic,Amoxicillin,26-45,446,26.28,1039,788,1
2025-05-23,2025,5,23,South America,Brazil,Pain_Relief,Paracetamol,0-12,41,7.94,1146,618,0
2021-04-25,2021,4,25,Oceania,New Zealand,Antibiotic,Azithromycin,46-65,340,29.53,1109,294,1
2022-08-06,2022,8,6,North America,Canada,Chronic,Omeprazole,65+,268,43.68,1159,722,1
2025-01-07,2025,1,7,Europe,UK,Cough_Cold,Cough Syrup,26-45,483,14.22,497,686,0
2024-12-18,2024,12,18,Africa,Nigeria,Cough_Cold,Cough Syrup,65+,255,14.34,1682,467,0
2022-03-16,2022,3,16,Africa,Nigeria,Antibiotic,Azithromycin,26-45,446,32.98,480,734,1
2022-02-02,2022,2,2,Middle East,UAE,Cardiovascular,Atorvastatin,46-65,415,22.97,1356,424,1
2024-01-19,2024,1,19,North America,Mexico,Diabetes,Metformin,26-45,45,13.19,1324,391,0
2023-09-30,2023,9,30,South Asia,Bangladesh,Respiratory,Salbutamol,26-45,13,22.92,1271,214,0
2024-09-08,2024,9,8,Africa,South Africa,Chronic,Omeprazole,26-45,261,39.67,70,118,0
2025-03-25,2025,3,25,Africa,South Africa,Chronic,Omeprazole,65+,166,47.31,1426,262,0
2023-08-09,2023,8,9,Europe,Italy,Respiratory,Salbutamol,0-12,436,21.16,1089,193,0
2022-11-28,2022,11,28,East Asia,South Korea,Respiratory,Salbutamol,26-45,379,20.27,1291,471,1
2024-04-08,2024,4,8,South America,Argentina,Pain_Relief,Paracetamol,46-65,219,8.54,11,300,0
2023-06-08,2023,6,8,Middle East,Saudi Arabia,Vitamin,Vitamin C,13-25,17,11.53,118,268,0
2024-04-13,2024,4,13,North America,Canada,Vitamin,Vitamin C,0-12,333,11.04,874,243,0
2020-02-11,2020,2,11,Europe,Italy,Vitamin,Vitamin C,46-65,490,11.39,618,304,1
2025-04-09,2025,4,9,Middle East,UAE,Vitamin,Vitamin C,0-12,395,11.89,44,71,0
2025-01-09,2025,1,9,South America,Argentina,Chronic,Omeprazole,26-45,176,38.91,14,585,0
2021-09-15,2021,9,15,South Asia,Bangladesh,Chronic,Omeprazole,65+,360,32.15,1170,505,1
2021-05-03,2021,5,3,South Asia,Bangladesh,Respiratory,Salbutamol,13-25,423,17.68,760,557,1
2024-10-28,2024,10,28,North America,USA,Antibiotic,Azithromycin,0-12,366,35.17,310,521,0
2024-03-02,2024,3,2,South Asia,India,Vitamin,Vitamin C,13-25,479,9.57,80,326,0
2021-12-05,2021,12,5,South America,Colombia,Respiratory,Salbutamol,65+,489,20.5,1592,136,1
2022-10-24,2022,10,24,East Asia,Japan,Antibiotic,Azithromycin,0-12,313,28.44,49,863,1
2025-05-14,2025,5,14,Africa,South Africa,Vitamin,Vitamin C,65+,298,11.18,36,849,0
2022-12-07,2022,12,7,Oceania,Australia,Respiratory,Salbutamol,26-45,111,20.79,1785,336,1
2023-02-08,2023,2,8,Europe,UK,Cough_Cold,Cough Syrup,13-25,411,11.41,1572,316,0
2022-11-11,2022,11,11,Africa,Nigeria,Diabetes,Metformin,46-65,482,17.76,893,212,1
2022-02-02,2022,2,2,Africa,Nigeria,Diabetes,Metformin,0-12,16,14.12,197,503,1
2021-06-11,2021,6,11,East Asia,China,Cough_Cold,Cough Syrup,26-45,55,12.53,659,952,1
2023-11-27,2023,11,27,East Asia,South Korea,Vitamin,Vitamin C,0-12,453,8.89,54,511,0
2024-07-31,2024,7,31,Oceania,New Zealand,Respiratory,Salbutamol,13-25,254,18.44,656,469,0
2024-09-11,2024,9,11,North America,Mexico,Diabetes,Metformin,0-12,43,12.06,907,524,0
2022-04-27,2022,4,27,South America,Colombia,Chronic,Omeprazole,65+,221,41.67,690,412,1
2022-01-29,2022,1,29,South Asia,Bangladesh,Vitamin,Vitamin C,26-45,466,9.69,841,630,1
2021-04-20,2021,4,20,North America,Mexico,Antibiotic,Amoxicillin,46-65,90,27.43,1074,885,1
2020-04-24,2020,4,24,Middle East,UAE,Respiratory,Salbutamol,26-45,300,17.24,1039,565,1
2025-04-29,2025,4,29,South Asia,India,Cardiovascular,Atorvastatin,46-65,130,29.72,253,966,0
2023-06-02,2023,6,2,North America,USA,Diabetes,Metformin,26-45,14,14.23,436,502,0
2025-01-13,2025,1,13,Europe,Germany,Cough_Cold,Cough Syrup,46-65,18,13.52,86,755,0
2021-11-26,2021,11,26,East Asia,China,Chronic,Omeprazole,65+,197,39.93,628,941,1
2024-02-24,2024,2,24,Africa,Nigeria,Cough_Cold,Cough Syrup,26-45,395,11.48,1166,468,0
2021-03-01,2021,3,1,North America,USA,Cardiovascular,Atorvastatin,65+,188,20.61,1502,269,1
2024-01-13,2024,1,13,Middle East,UAE,Chronic,Omeprazole,46-65,477,40.38,841,620,0
2021-02-05,2021,2,5,Africa,Nigeria,Vitamin,Vitamin C,26-45,82,11.2,1357,667,1
2020-09-16,2020,9,16,South America,Argentina,Cough_Cold,Cough Syrup,0-12,397,12.42,1287,707,1
2023-03-10,2023,3,10,Europe,Italy,Pain_Relief,Paracetamol,0-12,264,8.76,736,568,0
2023-06-04,2023,6,4,Oceania,Australia,Respiratory,Salbutamol,26-45,383,22.9,190,969,0
2021-09-30,2021,9,30,North America,USA,Respiratory,Salbutamol,46-65,183,16.18,1485,290,1
2020-07-09,2020,7,9,South America,Brazil,Chronic,Omeprazole,65+,62,34.87,1526,626,1
2020-08-14,2020,8,14,South Asia,India,Antibiotic,Azithromycin,26-45,429,35.59,47,869,1
2025-04-20,2025,4,20,East Asia,Japan,Cough_Cold,Cough Syrup,13-25,455,11.58,945,308,0
2023-12-16,2023,12,16,Oceania,New Zealand,Pain_Relief,Ibuprofen,26-45,321,6.93,907,96,0
2020-06-05,2020,6,5,South Asia,India,Cardiovascular,Atorvastatin,46-65,250,25.6,23,769,1
2023-05-12,2023,5,12,Middle East,Saudi Arabia,Respiratory,Salbutamol,13-25,400,22.48,1581,436,0
2022-06-28,2022,6,28,Africa,Nigeria,Respiratory,Salbutamol,46-65,18,21.94,284,778,1
2023-08-02,2023,8,2,Oceania,New Zealand,Diabetes,Metformin,65+,17,16.26,960,776,0
2022-06-01,2022,6,1,Europe,France,Cough_Cold,Cough Syrup,26-45,165,12.92,1489,433,1
2021-07-18,2021,7,18,Europe,France,Chronic,Omeprazole,46-65,294,35.19,1213,823,1
2023-11-03,2023,11,3,Middle East,Saudi Arabia,Antibiotic,Amoxicillin,26-45,124,26.21,154,302,0
2022-07-01,2022,7,1,Oceania,New Zealand,Respiratory,Salbutamol,13-25,352,22.53,1572,434,1
2025-08-08,2025,8,8,Europe,UK,Cough_Cold,Cough Syrup,0-12,467,13.82,1272,877,0
2021-12-31,2021,12,31,North America,Canada,Pain_Relief,Ibuprofen,26-45,47,6.83,989,716,1
2023-01-10,2023,1,10,South America,Brazil,Cardiovascular,Atorvastatin,0-12,49,29.96,1932,773,0
2021-01-30,2021,1,30,South Asia,India,Vitamin,Vitamin C,0-12,407,8.74,1261,289,1
2022-06-16,2022,6,16,Middle East,UAE,Diabetes,Metformin,46-65,418,17.53,537,39,1
2024-02-20,2024,2,20,North America,Mexico,Chronic,Omeprazole,46-65,273,47.07,50,992,0
2025-05-15,2025,5,15,Africa,Nigeria,Chronic,Omeprazole,46-65,222,35.44,1814,508,0
2022-04-23,2022,4,23,South America,Brazil,Diabetes,Metformin,65+,249,16.02,1556,529,1
2024-06-19,2024,6,19,North America,Canada,Chronic,Omeprazole,26-45,487,43.76,1413,43,0
2023-08-29,2023,8,29,East Asia,Japan,Diabetes,Metformin,26-45,466,15.51,652,941,0
2021-09-04,2021,9,4,North America,USA,Antibiotic,Azithromycin,26-45,226,33.8,1287,314,1
2022-05-14,2022,5,14,East Asia,Japan,Cough_Cold,Cough Syrup,26-45,306,10.73,598,310,1
2023-10-22,2023,10,22,Oceania,New Zealand,Diabetes,Metformin,46-65,444,16.73,882,713,0
2020-03-26,2020,3,26,South America,Colombia,Vitamin,Vitamin C,0-12,321,10.12,565,95,1
2022-11-05,2022,11,5,South America,Argentina,Respiratory,Salbutamol,46-65,229,22.05,1075,712,1
2025-12-30,2025,12,30,Africa,South Africa,Cough_Cold,Cough Syrup,46-65,290,11.93,16,76,0
2020-03-30,2020,3,30,North America,Mexico,Chronic,Omeprazole,26-45,147,35.7,173,252,1
2021-01-26,2021,1,26,Europe,Italy,Pain_Relief,Ibuprofen,0-12,76,8.52,524,901,1
2024-05-18,2024,5,18,South Asia,Bangladesh,Respiratory,Salbutamol,26-45,236,18.41,1042,860,0
2020-04-22,2020,4,22,South America,Argentina,Diabetes,Metformin,65+,453,17.12,1499,673,1
2025-05-24,2025,5,24,East Asia,Japan,Respiratory,Salbutamol,26-45,333,18.79,112,945,0
2020-02-24,2020,2,24,South America,Colombia,Chronic,Omeprazole,46-65,299,46.57,360,981,1
2020-05-27,2020,5,27,South America,Brazil,Chronic,Omeprazole,46-65,232,43.95,9,750,1
2023-05-29,2023,5,29,South America,Colombia,Cough_Cold,Cough Syrup,0-12,108,12.77,810,260,0
2023-02-05,2023,2,5,North America,USA,Chronic,Omeprazole,46-65,421,34.85,985,244,0
2024-01-23,2024,1,23,Europe,France,Cardiovascular,Atorvastatin,26-45,420,22.83,61,248,0
2024-12-25,2024,12,25,South Asia,India,Respiratory,Salbutamol,46-65,300,18.42,1425,216,0
2021-07-29,2021,7,29,Middle East,Saudi Arabia,Vitamin,Vitamin C,26-45,331,11.52,24,334,1
2022-02-15,2022,2,15,North America,Canada,Antibiotic,Azithromycin,26-45,315,25.0,367,919,1
2022-11-16,2022,11,16,East Asia,Japan,Antibiotic,Azithromycin,26-45,346,27.38,1708,998,1
2024-11-12,2024,11,12,South Asia,Bangladesh,Diabetes,Metformin,26-45,180,13.09,1648,705,0
2021-04-22,2021,4,22,Oceania,New Zealand,Cough_Cold,Cough Syrup,13-25,249,12.02,1190,343,1
2025-10-21,2025,10,21,East Asia,Japan,Vitamin,Vitamin C,46-65,489,10.33,1252,698,0
2025-04-25,2025,4,25,South America,Colombia,Pain_Relief,Paracetamol,46-65,312,9.58,1035,264,0
2020-05-19,2020,5,19,Oceania,Australia,Pain_Relief,Ibuprofen,46-65,409,6.8,52,585,1
2022-04-09,2022,4,9,North America,Mexico,Vitamin,Vitamin C,26-45,307,11.31,21,103,1
2021-01-07,2021,1,7,Europe,Italy,Vitamin,Vitamin C,26-45,420,10.93,616,291,1
2021-08-23,2021,8,23,North America,Canada,Antibiotic,Azithromycin,46-65,440,25.01,151,674,1
2023-07-20,2023,7,20,Europe,Italy,Cough_Cold,Cough Syrup,0-12,325,11.73,1239,888,0
2020-01-22,2020,1,22,Oceania,New Zealand,Chronic,Omeprazole,65+,155,37.61,1266,762,1
2024-02-17,2024,2,17,Europe,France,Cough_Cold,Cough Syrup,13-25,278,10.5,385,99,0
2021-05-14,2021,5,14,South Asia,Bangladesh,Respiratory,Salbutamol,26-45,97,18.89,679,93,1
2024-02-22,2024,2,22,Africa,Nigeria,Respiratory,Salbutamol,13-25,302,19.03,424,984,0
2025-03-28,2025,3,28,Europe,UK,Vitamin,Vitamin C,13-25,407,8.97,1098,436,0
2023-04-06,2023,4,6,Africa,South Africa,Respiratory,Salbutamol,26-45,343,17.24,1353,284,0
2025-04-17,2025,4,17,South Asia,India,Cough_Cold,Cough Syrup,13-25,219,10.32,514,720,0
2024-12-27,2024,12,27,North America,Canada,Diabetes,Metformin,13-25,303,14.48,1391,78,0
2025-04-10,2025,4,10,South America,Argentina,Diabetes,Metformin,26-45,70,17.28,1136,774,0
2025-05-13,2025,5,13,Oceania,Australia,Vitamin,Vitamin C,0-12,75,8.58,1781,911,0
2025-02-04,2025,2,4,South Asia,India,Vitamin,Vitamin C,13-25,314,10.31,702,572,0
2025-11-23,2025,11,23,Europe,UK,Cough_Cold,Cough Syrup,13-25,321,9.74,1253,585,0
2022-12-21,2022,12,21,North America,Mexico,Vitamin,Vitamin C,26-45,60,10.47,1716,112,1
2022-08-12,2022,8,12,North America,Canada,Cough_Cold,Cough Syrup,0-12,179,12.52,196,491,1
2025-03-02,2025,3,2,Europe,France,Respiratory,Salbutamol,0-12,70,18.82,1925,392,0
2025-01-04,2025,1,4,East Asia,China,Diabetes,Metformin,65+,102,16.99,246,355,0
2021-12-17,2021,12,17,Europe,Germany,Cardiovascular,Amlodipine,65+,313,20.22,129,718,1
2020-03-30,2020,3,30,North America,Mexico,Vitamin,Vitamin C,26-45,324,11.94,925,613,1
2020-06-15,2020,6,15,Europe,Italy,Chronic,Omeprazole,65+,369,46.53,457,576,1
2020-10-21,2020,10,21,East Asia,Japan,Respiratory,Salbutamol,46-65,270,21.0,1690,904,1
2024-09-03,2024,9,3,North America,Canada,Cough_Cold,Cough Syrup,13-25,145,9.93,412,745,0
2022-01-20,2022,1,20,Europe,UK,Antibiotic,Amoxicillin,26-45,325,31.31,147,641,1
2021-02-24,2021,2,24,Middle East,Saudi Arabia,Respiratory,Salbutamol,13-25,46,22.53,1482,741,1
2024-10-02,2024,10,2,Europe,Italy,Cough_Cold,Cough Syrup,0-12,20,10.31,1102,888,0
2022-08-27,2022,8,27,North America,Mexico,Antibiotic,Amoxicillin,0-12,340,29.97,894,343,1
2021-11-13,2021,11,13,Africa,South Africa,Respiratory,Salbutamol,26-45,44,20.43,527,561,1
2025-10-26,2025,10,26,Oceania,Australia,Cardiovascular,Amlodipine,26-45,441,24.42,1293,269,0
2025-11-19,2025,11,19,South Asia,Bangladesh,Vitamin,Vitamin C,13-25,419,9.84,10,733,0
2023-03-16,2023,3,16,Middle East,UAE,Respiratory,Salbutamol,46-65,254,22.96,905,773,0
2021-10-17,2021,10,17,East Asia,South Korea,Cough_Cold,Cough Syrup,13-25,60,13.11,53,558,1
2021-07-16,2021,7,16,East Asia,South Korea,Diabetes,Metformin,46-65,73,16.42,394,913,1
2021-03-15,2021,3,15,North America,USA,Chronic,Omeprazole,46-65,165,46.88,866,611,1
2024-12-08,2024,12,8,Europe,UK,Cardiovascular,Amlodipine,26-45,192,29.89,1715,158,0
2024-09-29,2024,9,29,South Asia,India,Pain_Relief,Ibuprofen,26-45,53,8.3,532,783,0
2021-03-28,2021,3,28,North America,Canada,Vitamin,Vitamin C,13-25,343,8.19,30,616,1
2024-01-14,2024,1,14,East Asia,South Korea,Vitamin,Vitamin C,26-45,419,10.15,630,813,0
2021-02-25,2021,2,25,Oceania,Australia,Pain_Relief,Paracetamol,26-45,161,7.15,1577,767,1
2021-04-03,2021,4,3,Middle East,Saudi Arabia,Respiratory,Salbutamol,0-12,35,17.15,1820,610,1
2020-11-10,2020,11,10,East Asia,Japan,Cough_Cold,Cough Syrup,0-12,26,13.98,1508,725,1
2023-09-11,2023,9,11,Europe,UK,Cough_Cold,Cough Syrup,0-12,72,14.21,1325,228,0
2022-04-07,2022,4,7,Europe,France,Antibiotic,Azithromycin,13-25,132,24.74,1439,137,1
2020-05-27,2020,5,27,Oceania,Australia,Cardiovascular,Amlodipine,26-45,84,20.07,656,588,1
2020-01-03,2020,1,3,South America,Brazil,Respiratory,Salbutamol,26-45,337,18.84,1470,983,1
2020-07-10,2020,7,10,South America,Brazil,Chronic,Omeprazole,46-65,16,41.49,1632,121,1
2023-01-15,2023,1,15,South America,Brazil,Cough_Cold,Cough Syrup,13-25,422,10.47,1121,837,0
2022-02-11,2022,2,11,Oceania,New Zealand,Cardiovascular,Atorvastatin,65+,227,28.46,1646,745,1
2023-01-30,2023,1,30,South America,Argentina,Cough_Cold,Cough Syrup,0-12,371,10.45,131,351,0
2023-01-16,2023,1,16,Europe,UK,Chronic,Omeprazole,26-45,78,32.54,272,269,0
2022-09-11,2022,9,11,North America,USA,Diabetes,Metformin,65+,163,12.14,127,961,1
2020-03-03,2020,3,3,South America,Brazil,Cough_Cold,Cough Syrup,13-25,151,13.06,1630,48,1
2022-05-29,2022,5,29,North America,Canada,Vitamin,Vitamin C,65+,386,10.02,622,949,1
2024-10-09,2024,10,9,South Asia,India,Respiratory,Salbutamol,26-45,205,16.9,366,963,0
2024-08-27,2024,8,27,Middle East,UAE,Cardiovascular,Atorvastatin,65+,95,27.02,1521,910,0
2022-08-03,2022,8,3,North America,Mexico,Respiratory,Salbutamol,65+,337,23.02,427,497,1
2024-12-19,2024,12,19,Africa,Nigeria,Cough_Cold,Cough Syrup,65+,454,11.9,1385,457,0
2020-02-23,2020,2,23,North America,Canada,Respiratory,Salbutamol,13-25,380,20.94,27,575,1
2023-07-16,2023,7,16,Oceania,Australia,Diabetes,Metformin,0-12,483,17.8,43,548,0
2020-01-18,2020,1,18,Oceania,Australia,Chronic,Omeprazole,46-65,385,35.41,95,139,1
2022-09-09,2022,9,9,South America,Colombia,Antibiotic,Azithromycin,13-25,63,25.05,615,73,1
2021-05-16,2021,5,16,South Asia,India,Respiratory,Salbutamol,46-65,427,18.83,458,939,1
2020-03-20,2020,3,20,East Asia,South Korea,Antibiotic,Azithromycin,46-65,389,29.27,137,221,1
2021-09-28,2021,9,28,East Asia,Japan,Pain_Relief,Ibuprofen,13-25,460,7.61,14,873,1
2022-09-09,2022,9,9,South America,Colombia,Vitamin,Vitamin C,65+,485,11.96,1457,712,1
2025-06-17,2025,6,17,South Asia,India,Cardiovascular,Amlodipine,46-65,334,22.12,686,944,0
2022-07-27,2022,7,27,Oceania,Australia,Antibiotic,Azithromycin,0-12,202,32.47,459,686,1
2021-05-10,2021,5,10,Oceania,New Zealand,Cardiovascular,Atorvastatin,0-12,85,24.83,536,428,1
2024-05-18,2024,5,18,East Asia,China,Vitamin,Vitamin C,26-45,130,8.07,1293,254,0
2023-07-17,2023,7,17,South Asia,Bangladesh,Chronic,Omeprazole,46-65,312,42.13,601,376,0
2024-03-08,2024,3,8,South Asia,India,Vitamin,Vitamin C,13-25,100,11.24,49,691,0
2024-08-17,2024,8,17,North America,USA,Diabetes,Metformin,0-12,441,15.39,1533,77,0
2022-09-14,2022,9,14,Oceania,New Zealand,Antibiotic,Azithromycin,26-45,344,34.98,711,489,1
2021-03-10,2021,3,10,Middle East,Saudi Arabia,Cardiovascular,Amlodipine,65+,238,29.25,1507,43,1
2024-08-22,2024,8,22,Middle East,UAE,Chronic,Omeprazole,0-12,92,46.94,774,117,0
2020-06-15,2020,6,15,South America,Argentina,Cough_Cold,Cough Syrup,13-25,205,10.32,339,227,1
2020-09-27,2020,9,27,Europe,Italy,Vitamin,Vitamin C,26-45,376,11.16,17,757,1
2023-08-24,2023,8,24,Europe,France,Antibiotic,Amoxicillin,26-45,455,28.27,7,817,0
2021-03-25,2021,3,25,Oceania,Australia,Cough_Cold,Cough Syrup,13-25,288,11.9,1761,385,1
2025-08-08,2025,8,8,Europe,UK,Respiratory,Salbutamol,26-45,439,20.93,376,197,0
2021-11-25,2021,11,25,South Asia,Bangladesh,Cough_Cold,Cough Syrup,0-12,370,10.41,1501,787,1
2020-05-20,2020,5,20,South Asia,Bangladesh,Antibiotic,Amoxicillin,26-45,343,30.93,1427,712,1
2021-03-01,2021,3,1,Europe,France,Diabetes,Metformin,46-65,129,17.24,395,280,1
2023-05-30,2023,5,30,South America,Argentina,Respiratory,Salbutamol,65+,151,20.61,991,665,0
2022-07-11,2022,7,11,Middle East,Saudi Arabia,Respiratory,Salbutamol,13-25,472,20.78,71,726,1
2022-08-12,2022,8,12,South Asia,India,Antibiotic,Azithromycin,46-65,111,29.71,1385,649,1
2021-09-12,2021,9,12,South Asia,India,Vitamin,Vitamin C,13-25,303,11.62,1527,974,1
2020-01-12,2020,1,12,Oceania,New Zealand,Diabetes,Metformin,26-45,247,12.1,339,207,1
2021-12-29,2021,12,29,East Asia,South Korea,Antibiotic,Amoxicillin,0-12,240,26.24,729,181,1
2021-03-19,2021,3,19,Oceania,Australia,Diabetes,Metformin,26-45,254,14.68,1099,348,1
2024-08-13,2024,8,13,Middle East,UAE,Pain_Relief,Ibuprofen,0-12,366,6.4,289,801,0
2020-02-05,2020,2,5,North America,Canada,Pain_Relief,Ibuprofen,13-25,170,8.9,846,687,1
2020-06-25,2020,6,25,South Asia,Bangladesh,Respiratory,Salbutamol,46-65,142,23.03,21,176,1
2020-07-10,2020,7,10,East Asia,South Korea,Antibiotic,Amoxicillin,65+,42,28.12,1470,948,1
2025-04-17,2025,4,17,Oceania,New Zealand,Diabetes,Metformin,26-45,306,17.87,1401,959,0
2025-10-14,2025,10,14,Oceania,Australia,Chronic,Omeprazole,65+,264,43.12,40,304,0
